	number	city	City	region	population	description	first_letter	last_letter
10	11	аксай	Аксай	Ростовская область	48372	"Акса́й — административный центр Аксайского городского поселения и Аксайского района Ростовской области России.
"	а	а
11	12	алагир	Алагир	Северная Осетия	21550	"Алаги́р (осет. Алагир (произношение (инф.))) — город в Республике Северная Осетия-Алания. Административный центр Алагирского района. Образует Алагирское городское поселение. Туристический центр.
"	а	р
12	13	алапаевск	Алапаевск	Свердловская область	36189	"Алапа́евск — город в Свердловской области России. Административный центр муниципального образования город Алапаевск со статусом городского округа. С точки зрения административно-территориального деления, является городом областного подчинения.
"	а	к
13	14	алатырь	Алатырь	Чувашия	32265	"Ала́тырь (чуваш. Улатӑр) — город в Чувашской Республике России. Административный центр Алатырского района, в состав которого не входит. Образует городской округ город Алатырь.
"	а	р
14	15	алдан	Алдан	Якутия	21590	"Алда́н (якут. Алдан) — город в Республике Саха (Якутия) Российской Федерации, административный центр Алданского района, образует городское поселение город Алдан в его составе. Указом Президента Российской Федерации от 10 сентября 2021 года городу было присвоено звание «Город трудовой доблести»[2].
"	а	н
15	16	алейск	Алейск	Алтайский край	25380	"Але́йск — город (с 1939 г.) в Алтайском крае России. Административный центр Алейского района, в состав которого не входит. Образует городской округ город Алейск как единственный населённый пункт в его составе.
"	а	к
16	17	александров	Александров	Владимирская область	57053	"Алекса́ндров (ранее Алекса́ндровская слобода́, Алекса́ндрова слобода) — город (с 1778 года[3]) в России. Административный центр Александровского района Владимирской области. Четвёртый по величине город области, туристский центр на Золотом кольце России. Является центром Александровской агломерации населением около 130 тыс. жителей. Имеет города-спутники Струнино и Карабаново. Образует одноимённое муниципальное образование город Александров со статусом городского поселения как единственный населённый пункт в его составе[4].
"	а	в
17	18	александровск	Александровск	Пермский край	10780	"Алекса́ндровск — город в Пермском крае России. Административный центр Александровского муниципального округа.
"	а	к
18	19	александровск-сахалинский	Александровск-Сахалинский	Сахалинская область	8854	"Алекса́ндровск-Сахали́нский — город (с 1917 года) в России, административный центр городского округа «Александровск-Сахалинский район» Сахалинской области России.
"	а	и
19	20	алексеевка	Алексеевка	Белгородская область	36578	"Алексе́евка — город (с 1954[3]) в России, административный центр Алексеевского района (городского округа) Белгородской области. До 1954 года город входил в состав Воронежской области. День Города (городского округа) — третья суббота августа, отмечается ежегодно.
"	а	а
20	21	алексин	Алексин	Тульская область	60842	"Але́ксин — город в Тульской области России, центр Алексинского района и соответствующего муниципального образования город Алексин. Расположен в северной части Среднерусской возвышенности, на обоих берегах реки Оки, в 59 км к северо-западу от Тулы, в 69 км к востоку от Калуги и в 150 км к югу от Москвы[2]. Население — 60 842[1] чел. (2021).
"	а	н
21	22	алзамай	Алзамай	Иркутская область	5373	"Алзама́й — город (с 1955 года) в Нижнеудинском районе Иркутской области России. До 2005 года входил в состав муниципального образования «Город Нижнеудинск», с 2006 года образует Алзамайское муниципальное образование.
"	а	а
22	23	алупка	Алупка	Крым	9063	"Алу́пка[8] (укр. Алу́пка, крымскотат. Alupka, Алупка, из (греч. αλεπού — лисица)[9] — город на южном берегу Крыма (согласно административно-территориальному делению России входит в городской округ Ялта Республики Крым, согласно АТД Украины — в составе Алупкинского городского совета Ялтинского горсовета Автономной Республики Крым).
"	а	а
23	24	алушта	Алушта	Крым	31364	"Алу́шта[7] (укр. Алу́шта, крымскотат. Aluşta, Алушта) — город-курорт на южном берегу Крыма. Административный центр городского округа Алушта (согласно позиции РФ) и Алуштинского горсовета (согласно позиции Украины), так называемой Большой Алушты.
"	а	а
24	25	альметьевск	Альметьевск	Татарстан	163512	"Альме́тьевск (тат. Әлмәт) — город в Республике Татарстан Российской Федерации. Административный центр Альметьевского района. Образует городское поселение город Альметьевск[3].
"	а	к
25	26	амурск	Амурск	Хабаровский край	38606	"Аму́рск — город в России, административный центр Амурского района Хабаровского края.
"	а	к
26	27	анадырь	Анадырь	Чукотский АО	13202	"Ана́дырь (чук. Кагыргын (южные и глубинные чукчи), Въэӈын (северные чукчи)[3]) — город на крайнем северо-востоке России, административный центр Чукотского автономного округа. Является также административным центром Анадырского района, но в состав района не входит. 
"	а	р
27	28	анапа	Анапа	Краснодарский край	81863	"Ана́па — город-курорт на юге России, в Краснодарском крае. Климатический и бальнеологический курорт (преимущественно детско-подростковый).  
"	а	а
28	29	ангарск	Ангарск	Иркутская область	221296	"Анга́рск — город в Восточной Сибири, с прилегающими населёнными пунктами образует Ангарский городской округ.
"	а	к
29	30	андреаполь	Андреаполь	Тверская область	6956	"Андреа́поль — город (с 1967[2] года) в Тверской области России.
"	а	л
30	31	анжеро-судженск	Анжеро-Судженск	Кемеровская область	66583	"Анже́ро-Су́дженск — город в Кемеровской области России, в 80 км к северу от областного центра — Кемерово. Административный центр Анжеро-Судженского городского округа. Город областного подчинения. Моногород Российской Федерации с наиболее сложным социально-экономическим положением[2].  С 2016 года город имеет статус ТОСЭР[3].
"	а	к
31	32	анива	Анива	Сахалинская область	9638	"Ани́ва (с 1886 по 1905 — Лютога, с 1905 по 1946 — Руутака; яп. 留多加[2]) — город в Сахалинской области России. Административный центр Анивского городского округа.
"	а	а
32	33	апатиты	Апатиты	Мурманская область	49647	"Апати́ты — город в Мурманской области России. Центр городского округа город Апатиты с подведомственной территорией, в который помимо него входят посёлок Тик-Губа и станция Хибины.
"	а	т
33	34	апрелевка	Апрелевка	Московская область	35514	"Апре́левка — город в России (с 1961) в Наро-Фоминском городском округе Московской области[3].
"	а	а
34	35	апшеронск	Апшеронск	Краснодарский край	40289	"Апшеро́нск — город на юге России, в Краснодарском крае. Административный центр Апшеронского муниципального района и Апшеронского городского поселения.
"	а	к
35	36	арамиль	Арамиль	Свердловская область	19013	"Арами́ль — город районного подчинения в Сысертском районе Свердловской области России, административный центр Арамильского городского округа. Город-спутник Екатеринбурга.
"	а	л
36	37	аргун	Аргун	Чечня	41622	"Аргун (чечен. Орга-Гӏала[2], УстаргӀардойн-Эвла[3]) — город в Чеченской Республике Российской Федерации.
"	а	н
37	38	ардатов	Ардатов	Мордовия	8857	"Арда́тов (эрз. Орданьбуе ош) — город (с 1780 г.) в Республике Мордовия Российской Федерации. Центр Ардатовского района, образует одноимённое муниципальное образование в статусе городского поселения Ардатов как единственный населённый пункт в его составе[3].
"	а	в
38	39	ардон	Ардон	Северная Осетия	18956	"Ардо́н (осет. Ӕрыдон) — город в Республике Северная Осетия — Алания. Административный центр Ардонского района.
"	а	н
39	40	арзамас	Арзамас	Нижегородская область	104908	"Арзама́с — город (с 1578[4]) в России, в Нижегородской области. Город областного значения, центр городского округа город Арзамас[5]. Находится в 112 км к югу от Нижнего Новгорода[6]. Арзамас является единственным в Нижегородской области историческим поселением федерального значения[7].
"	а	с
40	41	аркадак	Аркадак	Саратовская область	10990	"Аркада́к — город в России, административный центр Аркадакского района Саратовской области. Находится на восточной окраине Окско-Донской равнины, на реке Большой Аркадак (близ её впадения в реку Хопёр), в 248 км к западу от Саратова. Аркадак — это железнодорожная станция Юго-Восточной железной дороги на линии Поворино-Пенза. Население — 10 990[1] чел. (2021).
"	а	к
41	42	армавир	Армавир	Краснодарский край	187177	"Армави́р — город на юге Российской Федерации, в Краснодарском крае. Расположен на востоке Краснодарского края, в 202 км от Краснодара и в 1400 км от Москвы. Вместе с пригородными сельскими округами образует муниципальное образование город Армавир.
"	а	р
42	43	армянск	Армянск	Крым	20692	"Армя́нск[5] (ранее Армя́нский База́р; укр. Армянськ, арм. Արմյանսկ, крымскотат. Ermeni Bazar, Эрмени Базар) — город на севере Крыма. Расположен на Перекопском перешейке, соединяющем Крымский полуостров с континентом. Административный центр городского округа Армянск[2] (Армянского горсовета[3]), который помимо собственно Армянска включает также 3 села: Волошино, Перекоп и Суворово.
"	а	к
43	44	арсеньев	Арсеньев	Приморский край	47937	"Арсе́ньев — город (с 1952 года) в Приморском крае России, в 160 км к северо-востоку от Владивостока (250 км по автодороге). Образует Арсеньевский городской округ как единственный населённый пункт в его составе.mw-parser-output .ts-Переход img{margin-left:.285714em}. Население  47 937[2] чел. (2021). Площадь города 39,37 км²[1]. Назван в честь путешественника и писателя, исследователя Уссурийского края Владимира Клавдиевича Арсеньева[3].
"	а	в
44	45	арск	Арск	Татарстан	20421	"Арск (тат. Арча) — город в Республике Татарстан России. Административный центр Арского района, образует муниципальное образование «город Арск», наделённое статусом городского поселения.
"	а	к
45	46	артём	Артём	Приморский край	109556	"Артём (также Артем[2]) — город в Приморском крае. Расположен в долине реки Кневичанки в 38 км к северо-востоку от центра Владивостока[3]. Административный центр Артёмовского городского округа. Является частью Владивостокской агломерации.
"	а	м
46	47	артёмовск	Артёмовск	Красноярский край	1510	"Артёмовск — город в Курагинском районе Красноярского края.
"	а	к
47	48	артёмовский	Артёмовский	Свердловская область	28943	"Артёмовский — город в Свердловской области России. Административный центр Артёмовского городского округа с точки зрения муниципального деления. С точки зрения административно-территориального деления является административным центром Артёмовского района.
"	а	и
48	49	архангельск	Архангельск	Архангельская область	301199	"Арха́нгельск — город в России, третий по численности населения в Северо-западном федеральном округе после Санкт-Петербурга и Калининграда. Расположен в устье Северной Двины, в 30—35 километрах от впадения её в Белое море. Административный центр Архангельской области и Приморского муниципального района[6]. Город областного значения, образует муниципальное образование город Архангельск со статусом городского округа.
"	а	к
49	50	асбест	Асбест	Свердловская область	57317	"Асбе́ст — город областного подчинения в Свердловской области России, административный центр Асбестовского городского округа.
"	а	т
50	51	асино	Асино	Томская область	24913	"А́сино — город (с 1952) в России, административный центр Асиновского района Томской области и Асиновского городского поселения.
"	а	о
51	52	астрахань	Астрахань	Астраханская область	475629	"А́страхань — город в России, административный центр Астраханской области[5]. Старейший экономический и культурный центр Нижнего Поволжья и Прикаспия[6]. Входит в перечень исторических городов России[6]. Образует городской округ город Астрахань[7][8]. Центр Астраханской городской агломерации.
"	а	н
52	53	аткарск	Аткарск	Саратовская область	22709	"Атка́рск — город (с 1780 года (в другом источнике — с 1781 года[2]) — уездный город) в России, административный центр Аткарского района Саратовской области. 
"	а	к
53	54	ахтубинск	Ахтубинск	Астраханская область	35635	"Ахту́бинск (тюрк. Ак төбе / Aq töbe) — город в Астраханской области России, административный центр Ахтубинского района. Образован в 1959 году[3] путём объединения села (до 1918 года — слобода) Владимировка, посёлков Петропавловка и Ахтуба, а также авиационного военного городка.
"	а	к
54	55	ачинск	Ачинск	Красноярский край	100621	"А́чинск — город в Красноярском крае России, административный центр Ачинского района и городского округа город Ачинск.
"	а	к
55	56	аша	Аша	Челябинская область	27890	"Аша́ —  город в Ашинском районе Челябинской области России. Административный центр Ашинского района и Ашинского городского поселения. Население составляет 27 890[2] чел. (2021).
"	а	а
56	57	бабаево	Бабаево	Вологодская область	11739	"Баба́ево — город в Вологодской области России. Административный центр Бабаевского района и городского поселения город Бабаево. Город расположен на берегах реки Колпь (бассейн Волги), в 300 км к западу от Вологды.mw-parser-output .ts-Переход img{margin-left:.285714em}[⇨].
"	б	о
57	58	бабушкин	Бабушкин	Бурятия	4368	"Ба́бушкин (до 1941 года — Мы́совск, бур. Бабушкин хото) — город районного значения в Кабанском районе Республики Бурятия. Административный центр городского поселения «Бабушкинское». Население — 4368[1] чел. (2021).
"	б	н
58	59	бавлы	Бавлы	Татарстан	21628	"Бавлы́ (тат. Баулы) — город в Республике Татарстан России. Административный центр Бавлинского муниципального района. Образует муниципальное образование город Бавлы со статусом городского поселения как единственный населённый пункт в его составе[2].
"	б	л
59	60	багратионовск	Багратионовск	Калининградская область	6417	"Багратио́новск (до 1946 года Прейсиш-Эйлау, нем. Preußisch Eylau) — город в Калининградской области России, административный центр Багратионовского муниципального округа (района). Самый южный из всех городов региона. Расположен в 37 км к югу от областного центра города Калининграда, в 2 км от границы с Польшей (железнодорожный пограничный пункт «Багратионовск»). Железнодорожная станция Багратионовск. Население 6401[1] чел. (2021).
"	б	к
60	61	байкальск	Байкальск	Иркутская область	13199	"Байка́льск — город районного подчинения в Слюдянском районе Иркутской области России. Административный центр Байкальского городского поселения. 
"	б	к
61	62	баймак	Баймак	Башкортостан	17833	"Байма́к (башк. Баймаҡ  слушать) — город в Республике Башкортостан Российской Федерации, административный центр Баймакского района. Образует муниципальное образование город Баймак со статусом городского поселения как единственный населённый пункт в его составе[2].
"	б	к
62	63	бакал	Бакал	Челябинская область	16345	"Бака́л — город в Саткинском районе Челябинской области России. Административный центр Бакальского городского поселения. Население составляет 16 345[1] чел. (2021).
"	б	л
63	64	баксан	Баксан	Кабардино-Балкария	39593	"Бакса́н (кабард.-черк. Бахъсэн) — город в Кабардино-Балкарской Республике Российской Федерации.
"	б	н
64	65	балабаново	Балабаново	Калужская область	29029	"Балаба́ново — город (с 1972 года[3]) районного подчинения в Боровском районе Калужской области. Расположен в северо-восточной части Калужской области, в 96 километрах от Москвы по трассе М3.
"	б	о
65	66	балаково	Балаково	Саратовская область	184466	"Балако́во — город (с 1911[2]) в России, находящийся в юго-восточной европейской части России, административный центр Балаковского муниципального района Саратовской области. Балаково третий по численности населения город  Саратовской области после Энгельса. Образует одноимённое муниципальное образование город Балаково со статусом городского поселения как единственный населённый пункт в его составе[3].
"	б	о
66	67	балахна	Балахна	Нижегородская область	48569	"микрорайон Правдинск, микрорайон НиГРЭС, микрорайон Канифольный
"	б	а
67	68	балашиха	Балашиха	Московская область	520962	"Бала́ши́ха[прим 1][5][6] — город в России, в центре Московской области, крупнейший город области. Образует город областного подчинения с административной территорией и одноимённое муниципальное образование городской округ Балашиха. Основан в 1830 году. Население города составляет 520 962[2] чел. (2021).
"	б	а
68	69	балашов	Балашов	Саратовская область	74057	"Балашо́в — город (с 1780 г.) в России, административный центр Балашовского района Саратовской области. Образует одноимённое муниципальное образование город Балашов со статусом городского поселения как единственный населённый пункт в его составе[2].
"	б	в
69	70	балей	Балей	Забайкальский край	10286	"Золотая Горка, Новотроицк, Отмахово,
"	б	е
70	71	балтийск	Балтийск	Калининградская область	26796	"Балти́йск (до 1946 года — Пилла́у, нем. Pillau, лит. Piliava) — город в Калининградской области России. Административный центр Балтийского городского округа.
"	б	к
71	72	барабинск	Барабинск	Новосибирская область	27648	"Бара́бинск —   город в России, административный центр Барабинского района Новосибирской области.
"	б	к
72	73	барнаул	Барнаул	Алтайский край	630877	"Барнау́л — город в России, административный центр Алтайского края (с 1937 года) и одноимённого городского округа[3]. Население города — 630 877[2] (2021) человек.
Расположен на юге Западной Сибири в месте впадения реки Барнаулки в Обь. Возник в 1730-х годах и развивался как посёлок при сереброплавильном заводе Акинфия Демидова. В настоящее время крупный транспортный узел, промышленный, культурный, медицинский и образовательный центр Сибири[3]. Имеет статус «Город трудовой доблести»[4][5].
"	б	л
73	74	барыш	Барыш	Ульяновская область	14924	"Бары́ш — город районного подчинения в России, административный центр Барышского района Ульяновской области и Барышского городского поселения. 
"	б	ш
74	75	батайск	Батайск	Ростовская область	126988	"Бата́йск — город областного подчинения в Ростовской области России. Образует городской округ город Батайск.
"	б	к
75	76	бахчисарай	Бахчисарай	Крым	28609	"Бахчисара́й[7] (укр. Бахчисарай, крымскотат. Bağçasaray, Багъчасарай) — город в Бахчисарайском районе Крыма. Административный центр района; вместе с пгт Научный образует городское поселение Бахчисарай[2] (Бахчисарайский горсовет[3]).
"	б	а
76	77	бежецк	Бежецк	Тверская область	21466	"Бе́жецк — город (с 1137[2], до 1766 года — Городе́цк, а также город Бежецкий Верх) в Тверской области России. Административный центр Бежецкого района и городского поселения город Бежецк[3].
"	б	к
77	78	белая калитва	Белая Калитва	Ростовская область	40448	"Бе́лая Калитва́ — город в Ростовской области России. Административный центр Белокалитвинского района и Белокалитвинского городского поселения.
"	б	а
78	79	белая холуница	Белая Холуница	Кировская область	9659	"Бе́лая Холуни́ца — город в России, административный центр Белохолуницкого района Кировской области.
"	б	а
79	80	белгород	Белгород	Белгородская область	339978	"Бе́лгород — город на юге средней полосы европейской части России, административный центр Белгородской области[4]. Расположен на южной окраине Среднерусской возвышенности, на берегах Белгородского водохранилища, рек Везелки и Северского Донца, в 700 км к югу от Москвы, в 40 км от границы с Украиной. Город областного значения[5], образует муниципальное образование город Белгород со статусом городского округа[6][7]. Население 339 978[2] человек (2021). Вокруг города образовалась Белгородская агломерация с численностью населения более 0,5 млн человек. Город первого салюта. Первый в России город, получивший звание «Город воинской славы»[8].
"	б	д
80	81	белебей	Белебей	Башкортостан	59195	"Белебе́й (башк. Бәләбәй  слушать) — город в Республике Башкортостан Российской Федерации, административный центр Белебеевского района. Образует муниципальное образование город Белебей со статусом городского поселения как единственный населённый пункт в его составе[2].
"	б	е
81	82	белёв	Белёв	Тульская область	12846	"Белёв — город в России, административный центр Белёвского района Тульской области. Расположен на левом берегу Оки, в 114 км к юго-западу от Тулы. Образует одноимённое муниципальное образование город Белёв со статусом городского поселения как единственный населённый пункт в его составе[2]. Население — 12 746[1] чел. (2021).
"	б	в
82	83	белинский	Белинский	Пензенская область	8656	"Бели́нский (до 1948 года Чемба́р) — город в Пензенской области России, административный центр Белинского района.
"	б	и
83	84	белово	Белово	Кемеровская область	68542	"Бело́во — город областного подчинения в Кемеровской области России. Административный центр Беловского городского округа. Расположен на юге Западной Сибири, в центральной части Кузнецкого угольного бассейна (Кузбасса).
"	б	о
84	85	белогорск	Белогорск	Амурская область	61440	"Белого́рск — город (с 1926 года) в Амурской области России, административный центр городского округа город Белогорск и Белогорского муниципального округа, в состав которого не входит. С точки зрения административно-территориального деления является городом областного значения.
"	б	к
85	86	белогорск	Белогорск	Крым	17445	"Белого́рск[7] (до 1944 года Карасубаза́р; укр. Білогірськ, крымскотат. Qarasuvbazar, Къарасувбазар) — город в Белогорском районе Крыма. Административный центр района; образует городское поселение Белогорск[2]/Белогорский горсовет[3] как единственный населённый пункт в его составе.
"	б	к
86	87	белозерск	Белозерск	Вологодская область	8375	"Белозе́рск[2], до реформы 1777 года Белоозеро — город в России, административный центр Белозе́рского муниципального района Вологодской области. Белозерск расположен на берегу Белого озера (на современном месте — с 1364 года). Население — 8375[1] чел. (2021).
"	б	к
87	88	белокуриха	Белокуриха	Алтайский край	14735	"Белоку́риха — город в Алтайском крае России. Образует городской округ город Белокуриха. Город-курорт федерального значения.
"	б	а
88	89	беломорск	Беломорск	Карелия	7708	"Беломо́рск (карел. Šuomua — «болотистый край», фин. Sorokka[3]) — город в Республике Карелия Российской Федерации. Административный центр Беломорского района, образует Беломорское городское поселение.
"	б	к
89	90	белоозёрский	Белоозёрский	Московская область	13737	"Белоозёрский[3] — город в составе городского округа Воскресенска (административно подчинённый городу областного подчинения Воскресенску). Центр городского поселения Белоозёрский.
"	б	и
90	91	белорецк	Белорецк	Башкортостан	64525	"Белоре́цк (башк. Белорет  слушать) — город (с 1923 года) в России на Южном Урале, административный центр Белорецкого района Республики Башкортостан. Образует муниципальное образование город Белорецк со статусом городского поселения как единственный населённый пункт в его составе[2].
"	б	к
91	92	белореченск	Белореченск	Краснодарский край	55870	"Белоре́ченск — город на юге России, в Краснодарском крае. Административный центр Белореченского муниципального района. Образует муниципальное образование Белореченское городское поселение, как единственный населённый пункт в его составе.
"	б	к
92	93	белоусово	Белоусово	Калужская область	10946	"Белоу́сово — город в Жуковском районе Калужской области России.
"	б	о
93	94	белоярский	Белоярский	Ханты-Мансийский АО	19994	"Белоя́рский (хант. Нуви сӑңхум) — город в России, административный центр Белоярского района Ханты-Мансийского автономного округа — Югры. Расположен в Западной Сибири, на левом берегу Казыма — притока Оби. Население — 19 994[2] чел. (2021).
"	б	и
94	95	белый	Белый	Тверская область	3125	"Бе́лый — город в Тверской области России.
"	б	л
